,County,Baseline_R,Baseline_D,2022_Gov_D,2022_Gov_R,2022_Sos_D,2022_Sos_R,2022_Ag_D,2022_Ag_R,2022_Sen_D,2022_Sen_R,2022_Sen_O,2022_Tre_D,2022_Tre_R,2022_Cor_D,2022_Cor_R,2020_Sen_D,2020_Sen_R,2020_Pre_D,2020_Pre_R,2020_Pre_O,2018_Min_D,2018_Min_R,2018_Min_O,2018_Sen_D,2018_Sen_R,2018_Sen_O,2018_Gov_D,2018_Gov_R,2018_Gov_O,2018_Sos_D,2018_Sos_R,2018_Sos_O,2018_Ag_D,2018_Ag_R,2018_Ag_O,2018_Tre_D,2018_Tre_R,2018_Tre_O,2018_Spi_D,2018_Spi_R,2018_Spi_O,2016_Pre_D,2016_Pre_R,2016_Pre_O,2016_Sen_D,2016_Sen_R,2016_Sen_O,2012_Sen_D,2012_Sen_R,2012_Pre_D,2012_Pre_R,2010_Tre_D,2010_Tre_R,2010_Tre_O,2010_Sen_D,2010_Sen_R,2010_Sen_O,2010_Ag_D,2010_Ag_R,2010_Ag_O,2010_Sos_D,2010_Sos_R,2010_Sos_O,2010_Spi_D,2010_Spi_R,2010_Spi_O,2010_Gov_D,2010_Gov_R,2010_Gov_O,2008_Pre_D,2008_Pre_R,2008_Pre_O,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,2022_Spi_D,2022_Spi_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
0,Apache,11567,19404.0,17739,8870,17475,8776,17870,8480,18005,8163,344,16518,9757,26912,15425,24049,11052,23293,11443,265,16657,7990,0,16298,7810,973,14955,9174,874,17028,7889,4,16309,8400,2,16203,8495,0,17057,7656,4,17082,8239,2338,18445,7943,1476,16454,7680,17147,8250,13184,5669,1337,11756,7344,1256,13444,6675,0,14603,5838,0,14250,5897,0,12813,6974,641,15365,8522,98,21858,12878,20331,14405,18005,9016,695.0,66021,49105,19966,0.24382445779452194,0.003339782099582527,0.005498421749312698,0.6958150901130231,0.05237755829345281,0.7138987883107627,0.11086447408614195,0.03922207514509724,0.21478464514815193,0.37724131022738655,0.2369528197936492,0.23690273464890313,0.0920064108985275,0.00445757788240008,0.0022763113226809645
1,Cochise,33733,22998.0,19137,27482,19402,26826,18480,27663,20002,25538,1383,16523,29625,32663,53014,24843,35214,23732,35556,1153,17320,26975,4,17383,26928,1306,14576,29639,1269,18721,26204,17,18024,26722,0,16629,27849,0,18846,25717,4,17451,28093,4473,17642,27636,3715,19736,26208,18545,29496,15001,20756,2864,13098,23426,2978,16029,22911,0,15037,23653,0,16237,22473,0,13934,24954,1120,18922,29006,738,23346,35942,22878,36410,20002,27768,1499.0,125447,99330,49962,0.680700694654183,0.0381556428068056,0.023145071982281284,0.012221886640491291,0.298671096345515,0.7859961743682674,0.23233665559246955,0.08859357696567,0.28821101379240915,0.21306192706456908,0.23533885753172412,0.31563988631359835,0.20081261758936791,0.02632000320243385,0.007799876193823071
2,Coconino,25665,41662.0,34388,20298,34482,19270,34043,19700,35149,18697,1199,31244,22159,59974,36284,45560,27255,44698,27051,1522,32607,19945,17,34240,19248,1850,30712,22777,1524,34119,19850,5,32889,20714,20,31712,21369,2,34349,18907,10,32404,21107,6272,31695,24031,3455,28722,19333,29257,21219,19321,14645,2933,17038,18948,2388,21716,15455,0,21268,16120,0,21396,15515,0,20654,16719,1358,31264,22145,652,44250,27499,43797,27952,35149,20150,1753.0,145101,115992,52656,0.6112835367956411,0.015061383543692668,0.02004448582660873,0.223394716877026,0.13684564452720877,0.69364266501138,0.2988050900062073,0.1201979446858404,0.16512345679012347,0.2033576420540869,0.18907626861136434,0.31500683682771197,0.21556897599513825,0.06219614099058037,0.003009385047914327
3,Gila,18315,8425.0,7674,14763,8176,14103,7727,14539,7984,13958,601,6553,15685,13462,27231,9649,17889,8943,18378,330,6955,13044,0,7643,12180,706,5623,14444,491,7524,12804,0,6891,13226,8,6709,13416,6,7812,12381,0,7003,14182,1330,6701,13157,1794,8099,11954,7697,13455,6063,9795,1330,4849,11491,1276,7427,9924,0,6331,10970,0,6892,10245,0,6146,11154,600,7875,14086,327,8360,18961,7802,19519,7984,14554,666.0,53272,43006,22622,0.7162488955029531,0.004766776728828535,0.008510440403664605,0.13909687020415756,0.15195554108729015,0.8034925359252197,0.17230153932009487,0.0629447053899456,0.3631818815979166,0.2409601273096985,0.24958005481389797,0.3247281407479445,0.15378834762620458,0.024798868358235346,0.0043235315052036665
4,Graham,10932,3764.0,3086,7760,3246,7479,3083,7640,3243,7388,200,2623,8122,5026,13864,4505,10304,4034,10749,163,3248,7135,2,3367,6870,386,2569,7776,247,3475,7060,0,3129,7275,0,3083,7358,0,3663,6789,3,3300,8025,955,3281,7728,978,3771,7351,3609,8077,2839,5402,565,2186,6215,604,3426,5512,0,2894,5876,0,3566,5221,0,2858,5987,285,3384,8122,71,3518,11265,2991,11792,3243,7527,348.0,38533,27715,11799,0.6627097239761862,0.016020205664802452,0.006025617896445968,0.12455349088941006,0.28432256900595343,0.7291358470142522,0.12960490709002345,0.04084430813638824,0.1944073606350352,0.21764556318332062,0.21620476311551826,0.37740486481905244,0.16187812526485296,0.012712941774726672,0.003218972767338349
5,Greenlee,2165,1009.0,920,1525,977,1428,937,1461,969,1392,100,852,1544,1628,2784,1403,2226,1183,2433,53,1038,1460,0,1042,1416,113,831,1638,79,1084,1438,0,999,1494,2,1034,1473,0,1124,1382,0,1092,1891,316,1190,1784,303,1341,1366,1310,1593,1181,1008,161,945,1320,135,1290,1074,0,1169,1170,0,1287,1007,0,1174,1184,81,1162,1710,25,973,2643,730,2886,969,1464,87.0,9563,6843,3264,0.7008621949437381,0.008475814701154464,0.009644892590968873,0.03302645038725705,0.42948998977056846,0.7392956305713868,0.13634370889960543,0.02089726728043256,0.17536168347216133,0.12346813725490197,0.21537990196078433,0.42861519607843135,0.19914215686274508,0.02022058823529412,0.0020043494991955776
6,La Paz,5339,2064.0,1646,3847,1736,3708,1648,3775,1711,3656,84,1419,4013,2671,6774,2491,4835,2235,5129,35,1518,3425,0,1610,3265,127,1122,3852,70,1609,3408,0,1430,3524,0,1402,3542,0,1624,3332,0,1575,4002,373,1628,3662,512,1957,3117,1876,3711,1334,2574,344,1077,2996,363,1533,2752,0,1405,2887,0,1540,2719,0,1322,3041,83,1921,3501,55,2300,5064,2294,5070,1711,3814,168.0,16557,13505,8578,0.6562014068863384,0.007330618289522399,0.007108478341355053,0.1359496482784154,0.20866345797852648,0.7997038134024436,0.11921510551647538,0.03169196593854128,0.4814513143280267,0.31172767544882257,0.3072977384005596,0.2614828631382607,0.09501049195616694,0.010958265329913734,0.0014216780093794514
7,Maricopa,1006413,979857.0,790353,752714,813491,702376,766870,740960,809572,710490,31099,668143,830055,1341397,1427578,1064396,984203,1040773,995665,31705,651434,695081,413,732760,672505,34651,603054,800209,31430,713044,692689,201,672559,727133,496,628855,754918,170,717878,662199,516,702906,747360,117566,602634,842424,89573,602808,675499,602287,749884,373819,510375,64650,318767,598822,64496,461354,500959,484,374564,575513,195,407109,542986,235,414896,542800,33670,601920,746201,22514,1050109,986329,1059723,976715,809572,738705,45276.0,4420568,3382386,1661662,0.635164644129913,0.05566957762951952,0.04740381494010441,0.02113862817549505,0.2668944348752626,0.78262120290233,0.30424173941117305,0.11356155092884136,0.20046115375359289,0.1394964800302348,0.1946653410862137,0.31595474892005715,0.25700533562180516,0.09202653728616289,0.18548555578367626
8,Mohave,83331,23645.0,20369,61124,20901,59319,19582,60591,21040,58736,2117,16585,63562,32664,104497,27414,75358,24831,78535,982,17404,52220,0,19214,50209,2186,13579,56682,1162,18775,51899,0,17229,52936,2,16958,53105,0,19073,50873,0,17455,58282,4206,19045,50486,7873,20865,42410,19533,49169,14074,32850,4568,12268,36332,4565,16118,35352,0,14126,37337,0,15676,35206,0,12742,38992,1876,22058,44299,751,23800,79566,22619,80747,21040,60809,2787.0,213267,177461,94542,0.8167541037185635,0.01010926344379892,0.013197265878136605,0.021193388969970868,0.1366610128422583,0.8160384535193648,0.13697657513481837,0.05215793892742631,0.3697713863891221,0.22937953502147193,0.2697637029045292,0.3170019673795773,0.14709864398891498,0.028759704681517208,0.006176281315485627
9,Navajo,28894,20163.0,18057,22339,18700,21279,18118,21747,18723,20970,804,16319,23491,29494,39507,24395,26951,23383,27656,505,16427,19188,0,16623,18767,1243,13645,21879,936,16929,19039,2,16014,19853,0,15643,20142,4,17519,18510,0,16459,20576,3258,17644,18760,3065,16880,18227,16944,19883,12643,14101,1954,10707,16125,2074,14568,14154,0,13653,15314,0,14146,14024,0,12486,16127,822,15550,19730,205,22532,28507,21761,29278,18723,21688,1176.0,106717,79208,37161,0.48798101201898797,0.007903242096757903,0.005643369356630643,0.41748308251691746,0.09259165740834259,0.7478537521462478,0.1467907282092718,0.05637056862943137,0.2506186243813756,0.2867253303194209,0.24913215467829175,0.282123731869433,0.15212184817416108,0.00982212534646538,0.004141280142465283
