,County,Baseline_R,Baseline_D,2022_SSe_D,2022_SSe_R,2022_Sen_D,2022_Sen_R,2022_Sen_O,2022_Sup_D,2022_Sup_R,2022_Sos_D,2022_Sos_R,2022_LtG_D,2022_LtG_R,2022_Lab_D,2022_Lab_R,2022_Ins_D,2022_Ins_R,2022_Gov_D,2022_Gov_R,2022_Gov_O,2022_Ag_D,2022_Ag_R,2022_Ag_O,2021_Psc_D,2021_Psc_R,2021_Sen_D,2021_Sen_R,2018_SPs_D,2018_SPs_R,2018_SSo_D,2018_SSo_R,2018_Sup_D,2018_Sup_R,2018_LtG_D,2018_LtG_R,2018_Gov_D,2018_Gov_R,2018_Ag_D,2018_Ag_R,2020_Hou_D,2020_Hou_R,2020_Pre_D,2020_Pre_R,2020_Sen_D,2020_Sen_R,2020_Psc_D,2020_Psc_R,2016_Psc_D,2016_Psc_R,2016_Sen_D,2016_Sen_R,2016_Pre_D,2016_Pre_R,2014_Psc_D,2014_Psc_R,2014_Psc_O,2014_Sen_D,2014_Sen_R,2014_Sen_O,2014_Sos_D,2014_Sos_R,2014_LtG_D,2014_LtG_R,2014_Ins_D,2014_Ins_R,2014_Ins_O,2014_Gov_D,2014_Gov_R,2014_Gov_O,2014_Ag_D,2014_Ag_R,2014_Agr_D,2014_Agr_R,2012_Psc_D,2012_Psc_R,2012_Pre_D,2012_Pre_R,2010_Ag_D,2010_Ag_R,2010_Ag_O,2010_LtG_D,2010_LtG_R,2010_Gov_D,2010_Gov_R,2010_Gov_O,2010_Sen_D,2010_Sen_R,2008_Pre_D,2008_Pre_R,2008_Sen_D,2008_Sen_R,2008_Psc_D,2008_Psc_R,2008_Hou_D,2008_Hou_R,2006_Gov_D,2006_Gov_R,2006_LtG_D,2006_LtG_R,2006_Sos_D,2006_Sos_R,2006_Agr_D,2006_Agr_R,2006_Ins_D,2006_Ins_R,2006_Sup_D,2006_Sup_R,2006_Psc_D,2006_Psc_R,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
0,Appling,6652,1566.0,1222,5043,1260,5344,16,1137,5459,1034,5357,1117,5396,1133,5403,1135,5447,1131,5552,2,1158,5396,6,1518,5629,1596,5690,545,2175,624,2129,1301,5313,1266,5120,1358,5428,1384,5178,1690,6335,1779,6526,1753,6306,3233,12218,804,5419,1187,5169,1434,5493,973,3250,72,1059,3298,24,982,3382,943,3406,981,3262,42,1124,3192,34,997,3364,1003,3370,1630,4648,1758,5233,1416,3266,243,1405,3447,1430,3515,98,1126,3785,924,3413,1155,2887,1243,2374,868,3312,1102,2287,1116,2190,1123,2025,1770,1575,905,2451,947,2335,1079,2089,1748,6557,1756,6549,103.0,18444,13958,6681,0.7378564264221236,0.17488178822180828,0.0078807852127812,0.00487175813153747,0.08009743516263075,0.6844820174810144,0.07830634761427138,0.028585757271815445,0.22574867459521422,0.3502469690166143,0.21463852716659182,0.252956144289777,0.14892980092800479,0.003891632989073492,0.014010779275532412
1,Atkinson,2317,693.0,485,1524,501,1708,2,452,1729,422,1667,439,1710,446,1708,455,1717,467,1766,0,468,1686,9,706,1875,722,1925,177,662,192,660,595,1813,578,1724,636,1875,642,1768,703,2200,824,2300,773,2271,1362,4328,397,1776,596,1677,696,1877,485,1024,24,502,1073,41,487,1077,470,1086,472,1018,45,565,1007,35,491,1059,486,1085,817,1661,931,1938,587,800,11,475,897,498,921,11,388,981,460,1035,571,799,558,631,408,920,495,617,448,622,451,596,585,509,357,723,360,708,418,616,758,2366,674,2450,38.0,8286,6129,2933,0.664382444118127,0.14798498939468102,0.0019579050416054823,0.008321096426823299,0.20916952194485233,0.5687714145863926,0.09136890194158917,0.038342307064774026,0.18534834393865232,0.25230139788612344,0.3682236617797477,0.2478690760313672,0.1131946812137743,0.0034094783498124785,0.009334928585430481
2,Bacon,4193,575.0,441,3047,458,3204,11,386,3270,357,3177,390,3227,378,3232,385,3264,393,3311,0,404,3236,2,536,3512,559,3573,174,1348,204,1335,471,3261,468,3119,489,3321,515,3185,554,3909,625,4017,591,3930,1078,7557,352,3107,474,3046,608,3363,318,1754,69,395,1769,37,357,1838,355,1811,356,1751,37,440,1679,43,374,1801,385,1799,611,2613,790,3092,603,1676,43,536,1768,689,1717,23,456,1891,435,1374,515,1131,496,940,365,1337,780,916,603,996,614,873,902,731,431,1177,455,1130,542,949,495,4147,517,4125,63.0,11140,8310,3906,0.7774969915764139,0.14127557160048135,0.003971119133574007,0.0016847172081829122,0.06582430806257521,0.7330926594464501,0.09855595667870036,0.04969915764139591,0.21179302045728038,0.2951868919610855,0.26216077828981055,0.271889400921659,0.1359447004608295,0.00486431131592422,0.015140683315075718
3,Baker,879,586.0,481,651,526,711,6,475,750,469,739,478,740,476,739,470,749,501,756,0,472,753,1,610,788,624,814,222,276,229,275,509,727,487,704,534,752,534,699,780,735,651,897,649,872,1221,1666,341,816,530,762,649,774,450,498,8,486,483,13,448,514,440,516,448,511,2,480,490,8,451,501,481,502,628,738,794,784,867,352,0,629,535,667,531,25,576,617,433,445,438,400,423,312,594,240,462,314,413,317,407,287,520,238,335,393,333,400,384,300,559,989,489,1059,9.0,2876,2275,1177,0.5498901098901099,0.3986813186813187,0.007912087912087912,0.0,0.033846153846153845,0.7683516483516484,0.16131868131868132,0.07472527472527472,0.3586813186813187,0.3695836873406967,0.23619371282922685,0.20900594732370434,0.15632965165675447,0.0,0.0032472701365185786
4,Baldwin,9353,8986.0,7007,6853,7326,7415,212,6773,7986,6462,7826,6743,7784,6810,7693,6799,7917,6913,7986,81,6920,7707,161,8251,7973,8571,7902,3481,3474,3591,3445,7370,7840,7273,7475,7795,7737,7531,7676,8636,9104,9144,8906,8785,8876,16919,17379,4147,8781,6789,7798,7972,7699,4973,5118,341,5453,4998,177,5034,5409,4919,5504,4939,5178,270,5318,4975,209,5086,5342,4866,5528,7346,7880,8484,7589,5805,4907,320,5703,5104,5689,5133,380,5085,5689,3570,3534,3462,3089,3403,2819,4121,2569,3803,3680,3906,3498,3811,3362,5045,2389,3115,4421,3252,4106,3574,3592,8901,9149,8648,9402,392.0,43799,35732,15904,0.5469886936079704,0.39832643009067503,0.013601253778126049,0.0019870144408373445,0.023368409269002573,0.6643344900929139,0.1967983879995522,0.07757752154931154,0.193216164782268,0.2737047283702213,0.21843561368209255,0.3130658953722334,0.1618460764587525,0.026848591549295774,0.06537047097663923
5,Banks,9389,807.0,697,5824,771,6358,158,649,6612,620,6299,678,6490,613,6517,656,6608,606,6647,37,682,6469,125,803,6590,862,6591,390,2773,325,2847,643,6087,679,5958,646,6153,739,5970,900,7687,934,7800,901,7642,1683,14926,749,5912,674,5708,685,6136,494,3535,211,623,3592,110,506,3769,443,3858,464,3670,149,625,3584,121,553,3715,517,3791,786,4770,781,5357,747,3478,160,601,3707,593,3745,138,530,3770,554,2851,857,2365,732,2383,858,2467,811,2489,824,2454,935,2197,1865,1471,657,2698,640,2522,822,2335,828,7906,713,8021,290.0,18035,13900,6464,0.8947482014388489,0.022446043165467625,0.011294964028776978,0.005611510791366906,0.0518705035971223,0.6970503597122302,0.1476978417266187,0.06,0.21805755395683454,0.23963490099009901,0.17465965346534654,0.3589108910891089,0.19260519801980197,0.023360148514851485,0.029934653324016274
6,Barrow,30646,11430.0,7453,17946,8244,20136,893,7330,21835,7109,20814,7433,20959,7117,21081,7404,21723,7309,21833,288,7584,21100,595,8957,22850,9417,22660,2151,7151,2068,7266,6529,20410,6694,19649,6900,20161,7019,19913,9935,26964,10454,26805,10066,26317,18539,51752,5635,20973,5690,20281,6580,21108,3221,11686,1067,3746,11988,479,3372,12673,3230,12825,3222,12103,706,3746,11794,569,3525,12499,3233,12761,5261,17368,6028,18725,3630,11618,731,3314,12078,3401,11920,776,2970,12511,2296,6920,2341,6218,2248,5846,2142,6796,1983,6578,2213,6255,2116,6091,3672,4873,1762,7093,1880,6349,2097,6045,11046,26213,11628,25631,1602.0,83505,62195,28576,0.7151217943564595,0.12164965029343194,0.038540075568775624,0.004598440389098802,0.10814374145831658,0.7756089717822976,0.18366428169467,0.06896052737358309,0.16670150333628106,0.13822788353863383,0.2156005039193729,0.3657964725643897,0.239256718924972,0.0377939529675252,0.20021530848094832
7,Bartow,42809,12466.0,8550,26750,9349,29361,1053,8238,31367,7883,30051,8394,30353,8049,30280,8312,31255,8138,31528,300,8523,30504,720,10378,32108,10911,31983,2923,10213,2740,10441,8113,28393,8658,28153,8512,28368,8755,27795,11501,37944,12073,37595,11645,36931,21653,72643,7297,29213,7280,28018,8200,29852,4686,16416,1382,5431,16823,604,4877,17704,4615,17992,4630,16996,927,5611,16407,726,5014,17587,4674,17846,7495,24937,8387,26844,5565,16673,973,5237,17006,5577,16642,1161,4448,18018,3775,11451,4258,9924,4282,9266,3780,11064,3994,10909,4382,10347,4360,9944,7666,7187,3557,11761,3583,10779,4164,10066,12345,37323,12563,37105,1936.0,108901,83570,38719,0.7788919468708867,0.10357783893741773,0.011391647720473854,0.004714610506162498,0.0815723345698217,0.7569103745363168,0.17322005504367596,0.057137728850065815,0.18348689721191816,0.17601177716366642,0.21108499702988198,0.34440455590278674,0.2246700586275472,0.040884320359513414,0.0916257061172428
8,Ben Hill,4228,2195.0,1717,3023,1766,3235,35,1617,3445,1575,3326,1630,3345,1656,3323,1666,3366,1680,3413,0,1677,3324,14,2121,3540,2193,3532,772,1291,787,1299,1867,3587,1813,3400,1983,3538,1959,3441,2225,4168,2393,4110,2284,4077,4425,7968,1216,3878,1739,3589,2101,3740,1287,2076,47,1403,2043,30,1324,2138,1316,2143,1323,2052,39,1464,1901,38,1350,2108,1385,2065,2375,3314,2512,3395,2073,1758,32,1763,2010,1757,2013,70,1453,2313,752,1262,852,1022,868,935,1034,906,932,1216,972,1150,903,1152,1259,865,742,1408,783,1309,899,1172,2395,4108,2308,4195,58.0,17194,13165,7009,0.5750854538549184,0.3500189897455374,0.006912267375617166,0.0044056209646790735,0.049601215343714394,0.7460691226737561,0.09570831750854539,0.020432966198252942,0.23463729586023546,0.3314310172635183,0.3193037523184477,0.23341418176630047,0.08446283349978599,0.009844485661292623,0.02654263431863511
9,Berrien,6770,1147.0,843,4707,909,5002,27,780,5185,715,5008,797,5072,770,5109,774,5186,772,5209,2,816,5096,8,1088,5524,1145,5538,309,1998,322,2002,879,5248,864,5066,900,5313,968,5138,1146,6348,1269,6419,1204,6287,2191,12465,805,5275,895,5061,1047,5421,734,2799,120,818,2818,72,767,2942,745,2943,732,2850,57,886,2697,89,776,2920,749,2959,1328,4393,1273,4844,1479,2423,57,1071,2762,1159,2683,134,823,3012,784,2780,1103,2212,1157,1983,899,2519,1238,1713,1111,1806,1167,1655,1542,1432,823,2159,815,2095,1051,1760,1212,6476,1055,6633,131.0,18160,13690,6650,0.8260043827611395,0.10270270270270271,0.004601899196493791,0.0024835646457268077,0.045434623813002194,0.7423666910153397,0.12081811541271001,0.03674214755295836,0.23462381300219137,0.28842105263157897,0.2493233082706767,0.3094736842105263,0.13428571428571429,0.004511278195488722,0.015465453957061222
