,County,Baseline_R,Baseline_D,2024_Pre_D,2024_Pre_R,2024_Pre_O,2024_Gov_D,2024_Gov_R,2024_Gov_O,2024_Hou_D,2024_Hou_R,2024_Hou_O,2022_Sen_D,2022_Sen_R,2022_Sen_O,2022_Gov_D,2022_Gov_R,2022_Gov_O,2020_Pre_D,2020_Pre_R,2020_Pre_O,2020_Sen_D,2020_Sen_R,2020_Sen_O,2020_Gov_D,2020_Gov_R,2020_Gov_O,2018_Gov_D,2018_Gov_R,2018_Gov_O,2016_Pre_D,2016_Pre_R,2016_Pre_O,2016_Sen_D,2016_Sen_R,2016_Sen_O,2016_Gov_D,2016_Gov_R,2016_Gov_O,2014_Gov_D,2014_Gov_R,2014_Gov_O,2014_Sen_D,2014_Sen_R,2012_Gov_D,2012_Gov_R,2012_Gov_O,2012_Pre_D,2012_Pre_R,2012_Pre_O,2016_Hou_D,2016_Hou_R,2012_Hou_D,2012_Hou_R,2014_StS_D,2014_StS_R,2016_StS_D,2016_StS_R,2020_Ec_D,2020_Ec_R,2014_Ec_D,2014_Ec_R,2020_StS_D,2020_StS_R,2020_Hou_D,2020_Hou_R,2010_Gov_D,2010_Gov_R,2010_Gov_O,2010_Sen_D,2010_Sen_R,2010_Sen_O,2008_Gov_D,2008_Gov_R,2008_Gov_O,2008_Sen_D,2008_Sen_R,2008_Sen_O,2008_Pre_D,2008_Pre_R,2008_Pre_O,2006_Gov_D,2006_Gov_R,2006_Gov_O,2004_Sen_D,2004_Sen_R,2004_Sen_O,2004_Pre_D,2004_Pre_R,2004_Pre_O,2004_Gov_D,2004_Gov_R,2004_Gov_O,2002_Gov_D,2002_Gov_R,2002_Gov_O,2002_Sen_D,2002_Sen_R,2002_Sen_O,2092_Sen_D,2092_Sen_R,2092_Sen_O,2096_Sen_D,2096_Sen_R,2096_Sen_O,2098_Sen_D,2098_Sen_R,2098_Sen_O,2092_Pre_D,2092_Pre_R,2092_Pre_O,2096_Pre_D,2096_Pre_R,2096_Pre_O,2000_Pre_D,2000_Pre_R,2000_Pre_O,2092_Gov_D,2092_Gov_R,2092_Gov_O,2094_Gov_D,2094_Gov_R,2094_Gov_O,2096_Gov_D,2096_Gov_R,2096_Gov_O,2098_Gov_D,2098_Gov_R,2098_Gov_O,2000_Gov_D,2000_Gov_R,2000_Gov_O,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
0,Belknap,21942,17298.0,17468,22765,663,14762,24731,781,18713,21230,0,13669,16590,537,9429,20500,425,16893,20898,598,18704,18537,811,9490,28073,538,9690,16855,366,13517,19314,2212,14743,18710,1383,14068,18798,1497,11069,12603,4,11097,12566,16757,15702,846,15891,17571,426,13251,16926,14960,16385,9675,13224,15001,17747,14121,22026,8829,13530,14666,21821,16228,20486,11016,11002,579,6960,14810,716,22203,9852,527,15924,16157,858,16789,16394,220,15460,5046,0,8637,22933,0,14071,17909,278,14296,17585,10,6380,14680,598,8759,12649,518,10383,12309,2509,9560,12762,1008,3719,10373,516,8400,10572,74,10337,10675,269,10711,14788,1202,8699,14787,1109,3372,11324,700,12894,9983,621,9426,4887,432,11986,12970,1870,17343,20448,17976,19815,993.0,63705,52453,25786,0.9385163860980306,0.004747106933826473,0.009151049510990791,0.0020208567670104666,0.015022972947209882,0.8517529979219491,0.28516958038625057,0.1188492555239929,0.2688692734447982,0.13786550841541922,0.19444659892965174,0.29934848367331107,0.2970216396494222,0.06546187853874195,0.06120948912824159
1,Carroll,16364,17063.0,16821,17425,669,14407,19104,647,17396,16482,2,13708,13013,401,10305,16554,283,16648,16150,412,17669,14694,594,10427,22119,339,10431,13307,210,12986,14634,1994,13430,14838,1079,12504,15191,1184,10332,10315,2,10502,10150,14339,12893,679,13978,14208,418,12190,12697,13624,13083,7164,12978,9975,17955,13741,17894,8437,11200,12484,19651,15909,16082,10013,9908,413,7019,12566,652,17509,10020,601,13444,13982,952,15238,13405,270,13419,5231,0,8877,18689,0,13336,14633,226,12018,15818,0,5937,12612,542,8143,10665,503,7905,11208,1639,8563,11181,767,3235,9787,576,7264,8721,128,8893,9181,223,9865,12613,1354,7232,12807,827,2709,9618,539,10620,9518,580,8748,4673,307,10375,11706,1550,17112,15686,17711,15087,819.0,50107,42566,21755,0.9497016398064183,0.002302307005591317,0.00664849880186064,0.002302307005591317,0.012568716816238312,0.8825823427148428,0.3463797396983508,0.1485692806465254,0.33756989146266975,0.15159733394621927,0.20170075844633417,0.31836359457595953,0.24569064582854516,0.069179498965755,0.02076116108700363
2,Cheshire,18412,25024.0,24579,20082,996,22107,21341,1055,24957,18900,6,20083,13240,684,16889,16503,499,25521,17897,800,26749,15690,1155,17973,24708,830,18157,13875,493,22063,16876,2955,22809,16741,1921,21470,17107,1916,16440,10610,21,16468,10597,25136,13490,1269,25380,15155,824,22144,15867,22582,15084,17526,3907,22734,16142,22513,18651,14192,11186,24245,17758,25323,16690,15429,10081,624,12259,13075,783,29662,9827,1244,24788,15258,1472,26971,15204,386,20459,5277,5,18116,21900,41,24438,16463,383,24084,16224,46,13319,11594,804,14200,10737,918,17423,12214,1608,14929,12120,1523,6693,11918,884,15036,11037,81,16158,10251,513,17382,13792,2133,16005,14398,948,6323,12463,636,18265,9807,1315,13793,5219,652,17733,12553,2723,25476,17942,25568,17850,1225.0,76458,62705,30153,0.9252850649868432,0.009233713419982458,0.013523642452754964,0.0023283629694601706,0.019870823698269674,0.8107168487361455,0.2859740052627382,0.10622757355872738,0.24671078861334822,0.14937153848704937,0.1933804264915597,0.33061386926673964,0.2634895366961828,0.05614698371637979,0.041771425761722915
3,Coos,9182,7492.0,7356,9734,372,6337,10046,453,7615,8999,0,6057,6490,332,4192,8249,325,7637,8617,200,8751,7222,362,4664,11408,246,4987,6395,143,6558,7952,1112,7336,7537,614,7001,7424,753,6429,4151,2,6611,3998,8929,6068,400,9095,6342,216,7505,6734,7609,6727,6569,3836,8649,5947,6641,9108,5309,4790,6190,8993,8011,7760,5699,4590,294,4064,6197,341,11589,3742,346,9032,6375,536,9533,6558,98,7746,2216,0,4668,11815,0,8561,8140,119,8864,7788,2,3818,6890,350,5952,5055,312,6185,7221,1116,6921,6411,558,2244,6997,326,6557,5270,63,7177,4701,86,6564,7327,673,6297,8285,335,2609,6881,177,6992,6223,453,6349,2965,192,7006,6469,1050,7570,8684,7602,8652,416.0,31268,26167,13610,0.9335040317957733,0.018458363587724996,0.006305652157297359,0.0030572858944472045,0.017923338556196735,0.8273779951847747,0.18664730385600184,0.06512018955172545,0.28432758818359,0.19786921381337252,0.2720058780308597,0.319617927994122,0.16664217487141808,0.022409992652461425,0.006727281333235799
4,Grafton,19729,33776.0,32992,21910,1321,29212,24259,1301,32787,21432,20,26634,15247,891,21482,20428,676,33180,19905,881,34042,18092,1251,23022,29173,881,22932,16734,619,28511,19011,3671,28128,20679,2015,27620,19686,2337,20155,12884,3,20496,12654,29412,16476,1634,29827,18208,980,28048,18602,26053,18747,21050,10718,27176,20440,29867,21435,18536,13309,29558,22204,32358,19215,18618,11898,894,15032,15372,948,34565,11327,1266,27797,18957,1541,31445,17687,437,22451,6573,10,17989,27323,16,26179,20277,466,25042,20841,23,12606,16181,997,15265,14080,773,16461,18178,1937,16319,16423,1385,6543,14239,872,15389,13450,118,17475,13542,483,18325,18091,2234,16096,18121,919,6975,15137,773,19725,13550,1011,14520,6735,677,18424,17029,2674,33737,19348,34533,18552,1397.0,91118,76702,34376,0.9007196683267712,0.008448280357748169,0.031668013871867746,0.002555344058825063,0.02484941722510495,0.7808140596073114,0.35922140231023963,0.17562775416547158,0.2467341138431853,0.16153711892017686,0.18771817547125902,0.3060274610193158,0.24042936932743775,0.09407726320688853,0.020590382055784166
5,Hillsborough,102331,122542.0,118776,112056,4982,100395,125882,4770,122078,105832,34,91775,76861,3737,69674,99609,2585,122344,104624,3972,129099,93607,5767,72613,150152,3724,72032,87846,2589,99589,100013,14555,98728,105157,9170,95230,103812,9826,67526,70041,106,67190,70530,104546,90621,5942,102303,99991,3373,93723,94801,93597,95044,64030,68987,98912,99003,106286,113791,63422,68583,112501,107396,118878,101731,65183,62705,2704,43924,82512,3861,135191,56831,4601,97736,95647,6667,104821,97180,1748,81224,32479,38,60410,128739,35,94122,99725,1477,91344,100867,53,45324,78305,4214,57355,68321,3298,63740,78430,9763,63779,74708,6491,25401,63326,3603,58470,61620,1683,71283,59441,2500,77625,80649,7093,52260,90442,6670,19715,65767,3946,77938,63655,4324,59437,31108,2795,78522,75068,11286,126439,100529,130772,96196,5959.0,422937,338264,166967,0.8493188751980701,0.02273372277274555,0.03750620816876759,0.0022999787148499395,0.06551391812312277,0.8271350188018826,0.3521775891020032,0.13043953834874536,0.1980819714778989,0.1100996005198632,0.16377487767043786,0.28986566207693737,0.3169249013278073,0.11783765654290967,0.18629854229408632
6,Merrimack,40034,49109.0,48181,43364,2000,42070,47793,1926,49388,41067,11,39366,29964,1526,30834,38669,1248,48533,39712,1561,52343,34688,2083,31571,56265,1251,30540,33514,972,40199,37675,5776,41412,38541,3030,41196,37295,3467,32365,24607,30,32413,24597,46038,31127,1972,44757,34524,1234,40532,34666,40042,34283,28837,25939,40503,37008,42152,42837,29054,24471,43730,41615,48475,37595,31929,21546,1549,21655,31454,1783,58407,18221,1415,42644,33957,2207,45076,34009,553,39349,10411,20,25116,49803,24,39975,36059,545,45403,30442,23,23710,27772,1624,26898,25262,1365,30488,23389,3574,27357,25736,2918,10340,26191,1625,24436,22113,274,29380,21230,774,30621,30027,2890,25696,29616,2279,11469,25078,2444,35834,19263,1617,27606,9502,1531,33570,24478,5442,49522,38723,50780,37465,2402.0,153808,125255,59373,0.9113169134964672,0.01568799648716618,0.018985270049099837,0.0023392279749311403,0.021220709752105705,0.8223543970300586,0.3157798091892539,0.13504450920122948,0.2248692666959403,0.12448419315176933,0.16647297593182087,0.30894514341535717,0.3090125141057383,0.08741347076954172,0.06365708742171579
7,Rockingham,98220,96797.0,97611,102539,3849,82344,113668,3825,100183,97727,32,78048,73245,3096,59759,92043,2216,100064,95858,2876,105818,86937,4206,60232,134292,2472,59269,79196,1699,79994,90448,10993,81342,91361,7545,74076,94385,7910,57742,60537,39,53934,65056,84287,77095,4501,80142,87922,2360,75049,81318,76873,79016,47302,67374,74534,92354,87091,100210,44915,68632,88113,101470,95665,94276,51713,53048,2193,35002,68017,3483,108200,49157,3305,78992,80050,4895,83723,81917,1453,61101,26998,34,48739,104087,34,75437,82070,1260,75885,80173,33,36342,62541,3080,43968,55711,3099,50273,60269,8551,50546,55948,5367,18753,46156,2768,44317,47353,882,53645,46201,1970,61628,65860,6428,45172,69136,5376,15211,46816,2798,63882,44554,4604,43627,23108,1953,61247,60837,10138,103481,92441,107270,88652,5133.0,314176,254087,124862,0.9211018273268605,0.006911018666834588,0.01961926426775081,0.0014680011177273925,0.02640827747976087,0.8665339037416318,0.38919740089024624,0.14418683364359453,0.22377374678751766,0.09424804984703113,0.12415306498374205,0.2731976101616184,0.3452291329627909,0.16134612612324006,0.17443891561997174
8,Strafford,31009,43651.0,43010,33721,1571,38202,36634,1817,45169,30739,14,33240,22216,1161,26494,29100,929,41721,30489,1386,44415,26465,2008,26791,44542,1272,26593,25782,931,34895,29072,5034,36023,29419,2999,34174,29579,3292,24032,18025,42,23710,18542,37121,23387,1883,36026,26730,1112,33500,24717,34781,24051,21321,19427,34143,29346,36953,32001,20837,18158,38770,30881,40618,29396,22801,14633,978,15691,21196,1312,45866,14184,1230,36087,24494,1739,37982,25011,537,27160,6773,11,21032,36310,38,32935,25817,512,31905,26252,22,15458,21345,1409,20106,17412,1148,22612,19954,2787,21824,18680,2005,8461,16580,1003,21246,16025,289,23471,14479,795,25395,21102,2804,20245,23472,1675,7476,16653,1170,28334,13196,1457,19337,6638,724,28038,17229,3945,42846,29364,44116,28094,2071.0,130889,107455,51052,0.8965334325996929,0.011381508538457959,0.03358615234284119,0.0024847610627704623,0.026122562933320926,0.7620585361314038,0.3018938160160067,0.10856637662277233,0.18815318040109813,0.13633158348350702,0.17023818851367234,0.3049635665595863,0.2981861631277913,0.08812583248452559,0.13752484901465514
9,Sullivan,11719,12422.0,12317,12485,602,10863,13255,690,12597,11848,0,9907,8759,453,7702,11159,223,12389,11509,482,13183,10299,670,7848,15872,401,7724,9257,249,10210,10796,1676,10694,10649,1100,10244,10766,1052,8575,6831,0,8762,6657,12370,8165,790,12166,9269,362,10627,10036,10802,9216,10068,4557,10418,10529,10880,12084,7174,7154,10966,12350,12426,10811,7942,6202,383,5935,8019,504,15849,5389,452,11995,9522,647,13249,9169,142,10391,3281,0,7946,13241,0,11434,10141,179,11435,9985,0,6374,7738,416,6826,7338,487,8856,7559,800,7582,8327,873,3491,7903,419,7921,6318,91,8379,6823,236,8223,9303,1082,8523,8103,521,3823,8394,475,9675,6565,558,7922,3632,359,8126,8609,1667,12546,11352,12840,11058,661.0,43063,35026,16241,0.9261976817221492,0.0042825329755039115,0.008793467709701365,0.0034831268200765145,0.014846114315080226,0.8349511791240792,0.27228344658253867,0.1070062239479244,0.2650316907440187,0.18471768979742625,0.21328735915276154,0.31426636290868787,0.21747429345483651,0.05954066867803707,0.030911480596967786
