,County,Baseline_R,Baseline_D,2024_Pre_D,2024_Pre_R,2024_Pre_O,2021_Gov_D,2021_Gov_R,2021_Gov_O,2020_Pre_D,2020_Pre_R,2020_Pre_O,2020_Sen_D,2020_Sen_R,2020_Sen_O,2018_Sen_D,2018_Sen_R,2018_Sen_O,2017_Gov_D,2017_Gov_R,2017_Gov_O,2016_Pre_D,2016_Pre_R,2016_Pre_O,2024_Gue_D,2024_Gue_R,2028_Gue_D,2028_Gue_R,Baseline_O,Population 2020,VAP,Number of Households,Percent White VAP,Percent Black VAP,Percent Asian VAP,Percent Native VAP,Percent Latino VAP,Percent High School Attainment,Percent Bachelors Attainment,Percent Graduate Attainment,Percent Senior VAP,Percent Income <25k Households,Percent Income 25-50k Households,Percent Income 50-100k Households,Percent Income 100-200k Households,Percent Income >200k Households,Population Density (Per Square KM)
0,Sussex,33135,18884.0,31017,52118,1729,17346,36310,616,34480,51697,1781,33917,49883,2525,20228,37720,2926,15431,25400,1717,24212,46657,3256,37551,48626,40578,45599,1637.0,144221,116445,55393,0.8624930224569539,0.020370131821890163,0.021057151444888143,0.0022242260294559665,0.0850358538365752,0.8554081325947872,0.34126840997896,0.12017690755292199,0.2185151788397956,0.08670770674995036,0.11837235751809795,0.28301409925441845,0.3603523910963479,0.14848446554618816,0.10736217099067753
1,Warren,22453,13034.0,23319,35775,1266,12775,23740,375,24902,34771,1117,24125,33895,1623,14453,24358,1794,10070,17434,958,17282,29859,2097,26461,33212,28031,31642,1028.0,109632,87819,43925,0.8186041744952687,0.047802867261071066,0.026531843906216195,0.001935799769981439,0.09405709470615699,0.8364135323790979,0.31025176784067227,0.10420296291235381,0.22828772816816406,0.1363232783153102,0.14788844621513944,0.3034490608992601,0.30654524758110413,0.10212862834376779,0.11872220291022738
2,Hunterdon,32418,22436.0,36993,42389,1884,22820,33457,496,39455,43150,1631,36727,43948,2040,24821,36114,2194,17697,26707,944,28896,38711,3225,41732,40873,44086,38519,1423.0,128947,104020,49134,0.8469044414535666,0.025322053451259374,0.042780234570274946,0.0019996154585656604,0.07139973082099596,0.8557200538358009,0.48544510671024804,0.20205729667371658,0.23464718323399347,0.06785525298164204,0.10469328774372125,0.22306345911181666,0.33903203484348926,0.26382952741482474,0.1163691265840377
3,Morris,99809,81214.0,135671,143439,6440,81915,102769,1013,153881,141134,4307,146148,141373,3453,93764,114782,6492,65506,77202,2617,115249,126070,9096,160155,134860,166559,128456,3661.0,509285,403593,188182,0.7166724893642853,0.03266161702507229,0.11156040862948564,0.0029658591700054263,0.13727938789820437,0.8408396577740447,0.4958559737160952,0.2092033310785866,0.21520442624128763,0.08082069485923202,0.09652357823808866,0.22699833140257836,0.32868712204142797,0.26542389814116124,0.4265568569380138
4,Passaic,46945,61915.0,95160,100954,6570,57812,53551,709,129097,92010,2601,131195,80828,6592,86241,58383,4700,57416,36231,1810,116758,72902,5141,119943,101164,110992,110115,2503.0,524118,403816,177446,0.4590977078669493,0.10986687005963112,0.060272500346692556,0.011336846484537512,0.40208411751886997,0.7329204390118271,0.2567307882798106,0.08267131564871129,0.19011381421241358,0.168924630591842,0.1704405847412734,0.27137269930006874,0.2660189578801438,0.12298389369160195,1.0879415134758132
5,Bergen,117180,152717.0,232675,217092,8996,145150,129644,885,285967,204416,5465,280054,195193,8103,188235,146405,9542,129264,94904,3760,231211,175528,12555,282774,207609,279666,210717,4897.0,955732,755234,350184,0.5853934012504733,0.057662923014588856,0.16655632558915515,0.0044039330856396825,0.1990813443250701,0.8306392455848122,0.45785809431249125,0.18085388104878752,0.21769014636523248,0.10593288099970301,0.12561967422840564,0.22585555022502457,0.31342380005939735,0.2287882941539305,1.5851537582493402
6,Hudson,22611,93253.0,144409,79779,7199,88067,30443,1206,181452,65699,2700,176659,56916,6538,132180,36087,4863,88271,19236,2170,163916,49044,6414,167737,79414,153992,93159,2646.0,724854,582751,291037,0.3556973733206807,0.10644683578406558,0.17871955603679787,0.009415685258369355,0.38638629534741253,0.7811123447235612,0.4191224039083588,0.17164449310254293,0.1479139460936146,0.17242824795472741,0.15941959269783568,0.2489614722526689,0.2552012287097517,0.16376268309527656,6.057258893429267
7,Essex,38859,136555.0,224601,83914,4594,132524,45542,861,266827,75475,3016,260612,69750,4715,194073,53537,6028,129473,30633,2598,240844,63176,6921,258409,83893,249836,92466,2652.0,863728,661508,312528,0.31722518850868014,0.38513517599182473,0.055908620908590674,0.005180587385186574,0.22972813631883515,0.7638940118638021,0.3225010128373353,0.13471492408255079,0.17752015092787993,0.21057633236062048,0.17823043055342241,0.25488916193109096,0.21074911687912762,0.14482222392873598,2.645082853301729
8,Union,47685,84947.0,147305,89063,5330,83910,51279,818,170237,80001,2743,166929,76638,4013,117932,60757,4937,79109,39551,2593,147407,68113,6446,164868,85370,159474,90764,2557.0,575345,440856,200245,0.42629792948264283,0.20653456003774476,0.05740876839602954,0.006548623586840148,0.32093245867131215,0.7751079717640227,0.3338278258660424,0.13221550801168636,0.18679568838804508,0.12181577567479837,0.158206197408175,0.2786386676321506,0.2781292916177682,0.16300531848485605,2.1618539463054467
9,Somerset,53967,56353.0,98789,74100,5235,58585,54264,710,111173,71997,2690,105681,75623,2520,70359,61373,4450,45936,44231,2107,85689,65506,5898,114639,68531,118078,65092,2529.0,345361,271204,126264,0.5666251235232519,0.0906845031784192,0.18587852686538547,0.004044925591067978,0.15079423607321427,0.8422110293358505,0.5003576643412339,0.2293955841359272,0.20236795917464345,0.08383228790470759,0.10622188430589875,0.22659665462839765,0.3115456503833238,0.2709006526008997,0.4417115377236625
